,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power
310,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,130.0,120.0,50.0,25.199999999999996,92.94831,91.69348960302456,74.73206426621655,26.69394442007509,61.965540000000004,8.9628915,24006.131925,61,62,53,57,22,22,3233,3534,0.036209599999999995,0.03958079999999999,805.9199999999998,2841.0,8.9628915,61.965540000000004,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
287,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,130.0,135.0,35.0,25.199999999999996,92.94831,91.69348960302456,67.80395001793399,26.94091904279372,61.965540000000004,8.9628915,24006.131925,61,62,53,57,25,25,3233,3534,0.036209599999999995,0.03958079999999999,906.6599999999999,2809.5,8.9628915,61.965540000000004,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
269,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,130.0,140.0,30.0,25.199999999999996,92.94831,91.69348960302456,65.7974299472281,27.02437114862765,61.965540000000004,8.9628915,24006.131925,61,62,53,57,26,26,3233,3534,0.036209599999999995,0.03958079999999999,940.2399999999999,2799.0,8.9628915,61.965540000000004,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
306,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,130.0,125.0,45.0,25.199999999999996,92.94831,91.69348960302456,72.25418672606835,26.775711588355378,61.965540000000004,8.9628915,24006.131925,61,62,53,57,23,23,3233,3534,0.036209599999999995,0.03958079999999999,839.4999999999999,2830.5,8.9628915,61.965540000000004,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
299,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,130.0,130.0,40.0,25.199999999999996,92.94831,91.69348960302456,69.95092774623015,26.85803450668063,61.965540000000004,8.9628915,24006.131925,61,62,53,57,24,24,3233,3534,0.036209599999999995,0.03958079999999999,873.0799999999998,2820.0,8.9628915,61.965540000000004,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
659,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,125.0,130.0,35.0,25.199999999999996,94.6222875,88.80731947069943,67.30053976474929,27.642110157355713,63.081525,8.680772999999999,24017.115599999997,58,59,54,58,24,24,3132,3422,0.035078399999999996,0.0383264,886.0799999999998,2772.5,8.680772999999999,63.081525,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
669,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,125.0,125.0,40.0,25.199999999999996,94.6222875,88.80731947069943,69.51652999612217,27.547761407635203,63.081525,8.680772999999999,24017.115599999997,58,59,54,58,23,23,3132,3422,0.035078399999999996,0.0383264,851.9999999999999,2784.0,8.680772999999999,63.081525,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
675,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,125.0,120.0,45.0,25.199999999999996,94.6222875,88.80731947069943,71.90052262203714,27.454121633090903,63.081525,8.680772999999999,24017.115599999997,58,59,54,58,22,22,3132,3422,0.035078399999999996,0.0383264,817.9199999999998,2795.5,8.680772999999999,63.081525,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
643,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,125.0,135.0,30.0,25.199999999999996,94.6222875,88.80731947069943,65.23490940597235,27.73717622439659,63.081525,8.680772999999999,24017.115599999997,58,59,54,58,25,25,3132,3422,0.035078399999999996,0.0383264,920.1599999999999,2761.0,8.680772999999999,63.081525,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
199,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,125.0,155.0,30.0,25.199999999999996,92.3524875,92.9536483931947,61.940503405238786,26.960788071489173,61.568324999999994,9.08607,24023.84775,63,64,52,56,29,29,3276,3584,0.0366912,0.0401408,1025.4799999999998,2789.0,9.08607,61.568324999999994,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
