,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe
2025,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,130.0,120.0,45.0,25.199999999999996,113.160879,79.67455576559546,62.71131487187727,29.26819178585823,75.440586,7.78806,26258.803499999998,49,49,58,62,22,22,2842,3038,0.0318304,0.034025599999999996,865.9199999999998,3094.0,7.78806,75.440586
2022,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,130.0,125.0,40.0,25.199999999999996,113.160879,79.67455576559546,60.63200714553586,29.370160842714384,75.440586,7.78806,26258.803499999998,49,49,58,62,23,23,2842,3038,0.0318304,0.034025599999999996,901.9999999999999,3081.0,7.78806,75.440586
3693,S/U,5x3,5.3,3.3,5x3,5.3,3.3,160.0,120.0,125.0,25.0,18.2,117.66643199999999,71.66644990548204,56.59087238907931,30.93955474619403,78.44428799999999,7.0052805,26266.088474999997,43,43,60,63,23,23,2580,2709,0.028895999999999998,0.030340799999999998,882.0,3008.0,7.0052805,78.44428799999999
3708,S/U,5x3,5.3,3.3,5x3,5.3,3.3,160.0,120.0,120.0,30.0,18.2,117.66643199999999,71.66644990548204,58.531593861759035,30.804275060719878,78.44428799999999,7.0052805,26266.088474999997,43,43,60,63,22,22,2580,2709,0.028895999999999998,0.030340799999999998,846.72,3024.0,7.0052805,78.44428799999999
767,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,120.0,205.0,25.0,18.2,109.63134,86.09730056710774,48.98290384162476,28.508269271060318,73.08756,8.415873,26266.96935,60,61,51,54,38,38,3060,3294,0.034272,0.036892799999999996,1261.98,3094.5,8.415873,73.08756
797,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,120.0,200.0,30.0,18.2,109.63134,86.09730056710774,49.992222035560765,28.421055038558777,73.08756,8.415873,26266.96935,60,61,51,54,37,37,3060,3294,0.034272,0.036892799999999996,1231.2,3106.0,8.415873,73.08756
995,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,135.0,160.0,25.0,18.2,112.763664,80.48756143667296,54.66527067511527,28.810770234113125,75.175776,7.86753,26268.0975,53,54,54,57,30,30,2862,3078,0.0320544,0.03447359999999999,1032.96,3142.5,7.86753,75.175776
1019,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,135.0,155.0,30.0,18.2,112.763664,80.48756143667296,56.117798566292414,28.723972376075647,75.175776,7.86753,26268.0975,53,54,54,57,29,29,2862,3078,0.0320544,0.03447359999999999,1000.68,3154.0,7.86753,75.175776
1045,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,135.0,145.0,40.0,18.2,112.763664,80.48756143667296,59.29589637677325,28.55209868802427,75.175776,7.86753,26268.0975,53,54,54,57,27,27,2862,3078,0.0320544,0.03447359999999999,936.12,3177.0,7.86753,75.175776
1035,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,135.0,150.0,35.0,18.2,112.763664,80.48756143667296,57.65848521377543,28.637750491967243,75.175776,7.86753,26268.0975,53,54,54,57,28,28,2862,3078,0.0320544,0.03447359999999999,968.4,3165.5,7.86753,75.175776
2016,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,130.0,135.0,35.0,18.2,115.07885999999998,76.35478260869564,58.72261168993775,29.57474193474572,76.71923999999999,7.4635575,26270.189625,49,49,56,59,25,25,2744,2891,0.030732799999999994,0.0323792,898.56,3107.0,7.4635575,76.71923999999999
2003,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,130.0,140.0,30.0,18.2,115.07885999999998,76.35478260869564,56.98483536674472,29.677346227414763,76.71923999999999,7.4635575,26270.189625,49,49,56,59,26,26,2744,2891,0.030732799999999994,0.0323792,931.84,3094.0,7.4635575,76.71923999999999
1983,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,130.0,145.0,25.0,18.2,115.07885999999998,76.35478260869564,55.356813833992156,29.780740759845877,76.71923999999999,7.4635575,26270.189625,49,49,56,59,27,27,2744,2891,0.030732799999999994,0.0323792,965.12,3081.0,7.4635575,76.71923999999999
660,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,130.0,175.0,35.0,18.2,110.357676,84.83714177693761,54.41693010995933,28.135765060018898,73.571784,8.2926945,26271.005774999998,58,59,52,55,33,33,3016,3245,0.033779199999999995,0.036343999999999994,1094.8,3165.0,8.2926945,73.571784
641,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,130.0,180.0,30.0,18.2,110.357676,84.83714177693761,53.16531320782204,28.216793626651643,73.571784,8.2926945,26271.005774999998,58,59,52,55,33,33,3016,3245,0.033779199999999995,0.036343999999999994,1126.08,3154.0,8.2926945,73.571784
613,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,130.0,185.0,25.0,18.2,110.357676,84.83714177693761,51.97561278382748,28.298339865950773,73.571784,8.2926945,26271.005774999998,58,59,52,55,34,34,3016,3245,0.033779199999999995,0.036343999999999994,1157.36,3143.0,8.2926945,73.571784
954,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,130.0,170.0,30.0,18.2,111.98058299999998,81.99162192816632,53.48172434614503,28.649173578667327,74.65372199999999,8.0145495,26277.252524999996,55,56,53,56,32,32,2915,3136,0.032647999999999996,0.03512319999999999,1080.52,3142.0,8.0145495,74.65372199999999
928,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,130.0,175.0,25.0,18.2,111.98058299999998,81.99162192816632,52.21638262699688,28.73607715631343,74.65372199999999,8.0145495,26277.252524999996,55,56,53,56,33,33,2915,3136,0.032647999999999996,0.03512319999999999,1112.3,3130.5,8.0145495,74.65372199999999
971,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,130.0,165.0,35.0,18.2,111.98058299999998,81.99162192816632,54.8169000837163,28.562848871604835,74.65372199999999,8.0145495,26277.252524999996,55,56,53,56,31,31,2915,3136,0.032647999999999996,0.03512319999999999,1048.74,3153.5,8.0145495,74.65372199999999
715,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,135.0,165.0,30.0,18.2,111.231549,83.46858223062381,55.63126203163181,28.297513561488863,74.154366,8.15892,26289.565499999997,56,57,53,56,31,31,2968,3192,0.033241599999999996,0.0357504,1048.74,3168.0,8.15892,74.154366
689,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,135.0,170.0,25.0,18.2,111.231549,83.46858223062381,54.27625087263399,28.37893053160525,74.154366,8.15892,26289.565499999997,56,57,53,56,32,32,2968,3192,0.033241599999999996,0.0357504,1080.52,3157.0,8.15892,74.154366
745,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,135.0,155.0,40.0,18.2,111.231549,83.46858223062381,58.579635836615545,28.13621833085884,74.154366,8.15892,26289.565499999997,56,57,53,56,29,29,2968,3192,0.033241599999999996,0.0357504,985.18,3190.0,8.15892,74.154366
733,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,135.0,160.0,35.0,18.2,111.231549,83.46858223062381,57.06338685533792,28.216611166558252,74.154366,8.15892,26289.565499999997,56,57,53,56,30,30,2968,3192,0.033241599999999996,0.0357504,1016.96,3179.0,8.15892,74.154366
3230,S/U,5x3,5.3,3.3,5x3,5.3,3.3,150.0,120.0,125.0,40.0,18.2,116.44074,74.17321739130435,59.62034352865298,30.217448368729034,77.62716,7.250312999999999,26294.58735,46,46,58,61,23,23,2668,2806,0.029881599999999998,0.0314272,857.0,3063.0,7.250312999999999,77.62716
3198,S/U,5x3,5.3,3.3,5x3,5.3,3.3,150.0,120.0,140.0,25.0,18.2,116.44074,74.17321739130435,54.29256842414782,30.589129607328136,77.62716,7.250312999999999,26294.58735,46,46,58,61,26,26,2668,2806,0.029881599999999998,0.0314272,959.84,3018.0,7.250312999999999,77.62716
3225,S/U,5x3,5.3,3.3,5x3,5.3,3.3,150.0,120.0,130.0,35.0,18.2,116.44074,74.17321739130435,57.719815713787064,30.340228616908277,77.62716,7.250312999999999,26294.58735,46,46,58,61,24,24,2668,2806,0.029881599999999998,0.0314272,891.28,3048.0,7.250312999999999,77.62716
3215,S/U,5x3,5.3,3.3,5x3,5.3,3.3,150.0,120.0,135.0,30.0,18.2,116.44074,74.17321739130435,55.94824294396719,30.464117176331822,77.62716,7.250312999999999,26294.58735,46,46,58,61,25,25,2668,2806,0.029881599999999998,0.0314272,925.56,3033.0,7.250312999999999,77.62716
2982,S/U,5x3,5.3,3.3,5x3,5.3,3.3,145.0,130.0,120.0,25.0,18.2,117.6607575,72.14070321361058,59.54931686970314,30.55289921321532,78.440505,7.051638,26309.182350000003,44,44,59,62,22,22,2596,2728,0.0290752,0.030553599999999997,834.72,3054.0,7.051638,78.440505
1044,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,135.0,140.0,40.0,25.199999999999996,111.00173174999998,84.11898676748581,59.10214377783902,28.46835737013562,74.00115449999998,8.222495999999998,26311.659824999995,53,54,56,60,26,26,2968,3240,0.033241599999999996,0.036288,982.2399999999999,3138.5,8.222495999999998,74.00115449999998
2259,S/U,5x3,5.3,3.3,5x3,5.3,3.3,135.0,120.0,160.0,30.0,18.2,113.98935599999999,78.87510018903592,53.08086809154414,29.763267291775154,75.992904,7.709914499999999,26322.644774999997,51,52,55,58,30,30,2805,3016,0.031416,0.033779199999999995,1048.96,3054.0,7.709914499999999,75.992904
2273,S/U,5x3,5.3,3.3,5x3,5.3,3.3,135.0,120.0,155.0,35.0,18.2,113.98935599999999,78.87510018903592,54.49129632941181,29.655030131626194,75.992904,7.709914499999999,26322.644774999997,51,52,55,58,29,29,2805,3016,0.031416,0.033779199999999995,1016.18,3067.5,7.709914499999999,75.992904
2237,S/U,5x3,5.3,3.3,5x3,5.3,3.3,135.0,120.0,165.0,25.0,18.2,113.98935599999999,78.87510018903592,51.748692890473706,29.872381651762524,75.992904,7.709914499999999,26322.644774999997,51,52,55,58,31,31,2805,3016,0.031416,0.033779199999999995,1081.74,3040.5,7.709914499999999,75.992904
1345,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,135.0,145.0,30.0,18.2,113.98935599999999,78.87510018903592,57.57728106115762,29.103625799065718,75.992904,7.709914499999999,26322.644774999997,51,52,55,58,27,27,2805,3016,0.031416,0.033779199999999995,950.62,3138.0,7.709914499999999,75.992904
1359,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,135.0,140.0,35.0,18.2,113.98935599999999,78.87510018903592,59.27060563807451,29.01201599250937,75.992904,7.709914499999999,26322.644774999997,51,52,55,58,26,26,2805,3016,0.031416,0.033779199999999995,917.84,3150.0,7.709914499999999,75.992904
1323,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,135.0,150.0,25.0,18.2,113.98935599999999,78.87510018903592,55.98732815538568,29.195877539438275,75.992904,7.709914499999999,26322.644774999997,51,52,55,58,28,28,2805,3016,0.031416,0.033779199999999995,983.4,3126.0,7.709914499999999,75.992904
137,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,120.0,230.0,25.0,18.2,107.24805,91.02953497164461,47.92888742016885,27.63080806300961,71.4987,8.897991,26327.76645,66,67,49,52,43,43,3234,3484,0.0362208,0.039020799999999994,1369.88,3144.0,8.897991,71.4987
171,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,120.0,225.0,30.0,18.2,107.24805,91.02953497164461,48.80696251909364,27.554817736196902,71.4987,8.897991,26327.76645,66,67,49,52,42,42,3234,3484,0.0362208,0.039020799999999994,1340.1,3154.5,8.897991,71.4987
1221,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,125.0,175.0,30.0,18.2,112.3551,81.99162192816632,52.21638262699688,28.94149681056455,74.90339999999999,8.0145495,26339.672025,55,56,53,56,33,33,2915,3136,0.032647999999999996,0.03512319999999999,1112.3,3114.0,8.0145495,74.90339999999999
1526,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,120.0,175.0,35.0,18.2,112.3551,81.99162192816632,52.21638262699688,29.0765344641046,74.90339999999999,8.0145495,26339.672025,55,56,53,56,33,33,2915,3136,0.032647999999999996,0.03512319999999999,1112.3,3096.5,8.0145495,74.90339999999999
1238,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,125.0,170.0,35.0,18.2,112.3551,81.99162192816632,53.48172434614503,28.84969768489163,74.90339999999999,8.0145495,26339.672025,55,56,53,56,32,32,2915,3136,0.032647999999999996,0.03512319999999999,1080.52,3126.0,8.0145495,74.90339999999999
1195,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,125.0,180.0,25.0,18.2,112.3551,81.99162192816632,51.01537942941929,29.033944171863553,74.90339999999999,8.0145495,26339.672025,55,56,53,56,33,33,2915,3136,0.032647999999999996,0.03512319999999999,1144.08,3102.0,8.0145495,74.90339999999999
1509,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,120.0,180.0,30.0,18.2,112.3551,81.99162192816632,51.01537942941929,29.173846241685254,74.90339999999999,8.0145495,26339.672025,55,56,53,56,33,33,2915,3136,0.032647999999999996,0.03512319999999999,1144.08,3084.0,8.0145495,74.90339999999999
1483,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,120.0,185.0,25.0,18.2,112.3551,81.99162192816632,49.873788890863146,29.271880909280945,74.90339999999999,8.0145495,26339.672025,55,56,53,56,34,34,2915,3136,0.032647999999999996,0.03512319999999999,1175.86,3071.5,8.0145495,74.90339999999999
1372,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,135.0,125.0,45.0,25.199999999999996,112.15081799999999,82.37102457466918,63.04456720013232,28.73803844978412,74.76721199999999,8.0516355,26340.856724999998,51,52,57,61,23,23,2907,3172,0.032558399999999994,0.0355264,889.4999999999999,3135.0,8.0516355,74.76721199999999
1367,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,135.0,130.0,40.0,25.199999999999996,112.15081799999999,82.37102457466918,61.03488482581908,28.829218839118486,74.76721199999999,8.0516355,26340.856724999998,51,52,57,61,24,24,2907,3172,0.032558399999999994,0.0355264,925.0799999999998,3123.0,8.0516355,74.76721199999999
1358,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,135.0,135.0,35.0,25.199999999999996,112.15081799999999,82.37102457466918,59.16156387651664,28.92104123284101,74.76721199999999,8.0516355,26340.856724999998,51,52,57,61,25,25,2907,3172,0.032558399999999994,0.0355264,960.6599999999999,3111.0,8.0516355,74.76721199999999
244,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,125.0,215.0,25.0,18.2,108.73760625,88.64471833648392,48.89833664600364,27.765176127241055,72.4917375,8.664878999999999,26354.569425,63,64,50,53,40,40,3150,3392,0.03527999999999999,0.037990399999999994,1302.04,3169.0,8.664878999999999,72.4917375
277,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,125.0,210.0,30.0,18.2,108.73760625,88.64471833648392,49.858030232282466,27.689416841715556,72.4917375,8.664878999999999,26354.569425,63,64,50,53,39,39,3150,3392,0.03527999999999999,0.037990399999999994,1271.76,3179.5,8.664878999999999,72.4917375
1910,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,120.0,165.0,35.0,18.2,113.30841599999998,80.48756143667296,53.293331583471215,29.386031067721593,75.53894399999999,7.86753,26358.889499999997,53,54,54,57,31,31,2862,3078,0.0320544,0.03447359999999999,1065.24,3083.0,7.86753,75.53894399999999
1302,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,130.0,155.0,35.0,18.2,113.30841599999998,80.48756143667296,56.117798566292414,28.94470818989343,75.53894399999999,7.86753,26358.889499999997,53,54,54,57,29,29,2862,3078,0.0320544,0.03447359999999999,1000.68,3140.0,7.86753,75.53894399999999
1870,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,120.0,175.0,25.0,18.2,113.30841599999998,80.48756143667296,50.765092319705865,29.592321214139375,75.53894399999999,7.86753,26358.889499999997,53,54,54,57,33,33,2862,3078,0.0320544,0.03447359999999999,1129.8,3057.0,7.86753,75.53894399999999
1262,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,130.0,165.0,25.0,18.2,113.30841599999998,80.48756143667296,53.293331583471215,29.128731473513373,75.53894399999999,7.86753,26358.889499999997,53,54,54,57,31,31,2862,3078,0.0320544,0.03447359999999999,1065.24,3116.0,7.86753,75.53894399999999
1312,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,130.0,150.0,40.0,18.2,113.30841599999998,80.48756143667296,57.65848521377543,28.853656439908534,75.53894399999999,7.86753,26358.889499999997,53,54,54,57,28,28,2862,3078,0.0320544,0.03447359999999999,968.4,3152.0,7.86753,75.53894399999999
1894,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,120.0,170.0,30.0,18.2,113.30841599999998,80.48756143667296,51.99526541781935,29.488777369017313,75.53894399999999,7.86753,26358.889499999997,53,54,54,57,32,32,2862,3078,0.0320544,0.03447359999999999,1097.52,3070.0,7.86753,75.53894399999999
1286,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,130.0,160.0,30.0,18.2,113.30841599999998,80.48756143667296,54.66527067511527,29.036397555438818,75.53894399999999,7.86753,26358.889499999997,53,54,54,57,30,30,2862,3078,0.0320544,0.03447359999999999,1032.96,3128.0,7.86753,75.53894399999999
16,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,245.0,25.0,18.2,106.22663999999999,93.25175047258978,47.06082345163607,27.142571737255224,70.81775999999999,9.115208999999998,26363.888549999996,69,70,48,51,46,46,3312,3570,0.0370944,0.039984,1434.72,3182.0,9.115208999999998,70.81775999999999
52,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,240.0,30.0,18.2,106.22663999999999,93.25175047258978,47.86920578972145,27.072315213416466,70.81775999999999,9.115208999999998,26363.888549999996,69,70,48,51,45,45,3312,3570,0.0370944,0.039984,1405.44,3192.0,9.115208999999998,70.81775999999999
880,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,125.0,185.0,30.0,18.2,110.936475,84.83714177693761,51.97561278382748,28.548483578159107,73.95765,8.2926945,26367.472275,58,59,52,55,34,34,3016,3245,0.033779199999999995,0.036343999999999994,1157.36,3126.0,8.2926945,73.95765
899,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,125.0,180.0,35.0,18.2,110.936475,84.83714177693761,53.16531320782204,28.462023452092023,73.95765,8.2926945,26367.472275,58,59,52,55,33,33,3016,3245,0.033779199999999995,0.036343999999999994,1126.08,3137.5,8.2926945,73.95765
852,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,125.0,190.0,25.0,18.2,110.936475,84.83714177693761,50.84321345575522,28.635526460414976,73.95765,8.2926945,26367.472275,58,59,52,55,35,35,3016,3245,0.033779199999999995,0.036343999999999994,1188.64,3114.5,8.2926945,73.95765
2971,S/U,5x3,5.3,3.3,5x3,5.3,3.3,145.0,125.0,120.0,35.0,25.199999999999996,115.19235,77.28973913043478,59.79119810006413,30.148930190559906,76.7949,7.5549479999999996,26375.9256,46,46,60,64,22,22,2760,2944,0.030911999999999995,0.0329728,889.9199999999998,3038.5,7.5549479999999996,76.7949
1655,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,130.0,140.0,40.0,18.2,114.34117499999999,78.87510018903592,59.27060563807451,29.18548474237346,76.22744999999999,7.709914499999999,26381.281274999998,51,52,55,58,26,26,2805,3016,0.031416,0.033779199999999995,917.84,3137.0,7.709914499999999,76.22744999999999
1930,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,125.0,160.0,25.0,18.2,114.34117499999999,78.87510018903592,53.08086809154414,29.70262108389254,76.22744999999999,7.709914499999999,26381.281274999998,51,52,55,58,30,30,2805,3016,0.031416,0.033779199999999995,1048.96,3071.0,7.709914499999999,76.22744999999999
1952,S/U,5x3,5.3,3.3,5x3,5.3,3.3,130.0,125.0,155.0,30.0,18.2,114.34117499999999,78.87510018903592,54.49129632941181,29.599163267285917,76.22744999999999,7.709914499999999,26381.281274999998,51,52,55,58,29,29,2805,3016,0.031416,0.033779199999999995,1016.18,3084.0,7.709914499999999,76.22744999999999
